Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,approx_sales,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Platform_year
1,Wii Sports,Sports,E,Wii,Nintendo,Nintendo EAD,7.7,,82.86,82.86,,,,,,2006,1
2,Super Mario Bros.,Platform,,NES,Nintendo,Nintendo EAD,10,,40.24,40.24,,,,,,1985,1
3,Mario Kart Wii,Racing,E,Wii,Nintendo,Nintendo EAD,8.2,9.1,37.14,37.14,,,,,,2008,3
5,Wii Sports Resort,Sports,E,Wii,Nintendo,Nintendo EAD,8,8.8,33.09,33.09,,,,,,2009,4
6,Pokemon Red / Green / Blue Version,Role-Playing,E,GB,Nintendo,Game Freak,9.4,,31.38,31.38,,,,,,1998,10
7,New Super Mario Bros.,Platform,E,DS,Nintendo,Nintendo EAD,9.1,8.1,30.8,30.8,,,,,,2006,3
8,Tetris,Puzzle,E,GB,Nintendo,Bullet Proof Software,,,30.26,30.26,,,,,,1989,1
9,New Super Mario Bros. Wii,Platform,E,Wii,Nintendo,Nintendo EAD,8.6,9.2,30.22,30.22,,,,,,2009,4
11,Duck Hunt,Shooter,,NES,Nintendo,Nintendo R&D1,,,28.31,28.31,,,,,,1985,1
12,Wii Play,Misc,E,Wii,Nintendo,Nintendo EAD,5.9,4.5,28.02,28.02,,,,,,2007,2
13,Kinect Adventures!,Party,E,X360,Microsoft Game Studios,Good Science Studio,6.7,,24,24,,,,,,2010,6
14,Nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD,8.4,,23.96,23.96,,,,,,2005,2
15,Mario Kart DS,Racing,E,DS,Nintendo,Nintendo EAD,9.1,9.4,23.6,23.6,,,,,,2005,2
16,Pokemon Gold / Silver Version,Role-Playing,E,GB,Nintendo,Game Freak,9.2,,23.1,23.1,,,,,,2000,12
17,Wii Fit,Sports,E,Wii,Nintendo,Nintendo EAD,7.9,,22.67,22.67,,,,,,2008,3
18,Wii Fit Plus,Sports,E,Wii,Nintendo,Nintendo EAD,8,,21.13,21.13,,,,,,2009,4
19,Super Mario World,Platform,E,SNES,Nintendo,Nintendo EAD,8.5,,20.61,20.61,,,,,,1991,2
20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,20.32,,20.32,6.37,9.85,0.99,3.12,2013,8
21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,19.39,,19.39,6.06,9.71,0.6,3.02,2014,2
22,Brain Age: Train Your Brain in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,8.1,,19.01,19.01,,,,,,2006,3
24,Super Mario Land,Platform,E,GB,Nintendo,Nintendo R&D1,,,18.14,18.14,,,,,,1989,1
25,Mario Kart 7,Racing,E,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,,18.11,18.11,,,,,,2011,1
26,Pokemon Diamond / Pearl Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,,17.67,17.67,,,,,,2007,4
27,Grand Theft Auto: San Andreas,Action,M,PS2,Rockstar Games,Rockstar North,9.5,,17.3,17.3,,,,,,2004,5
28,Super Mario Bros. 3,Platform,E,NES,Nintendo,Nintendo R&D2,,,17.28,17.28,,,,,,1990,6
29,Pokemon X/Y,Role-Playing,E,3DS,Nintendo,Game Freak,8.9,9.7,16.37,16.37,,,,,,2013,3
30,Pokemon Ruby / Sapphire Version,Role-Playing,E,GBA,Nintendo,Game Freak,8.8,,16.22,16.22,,,,,,2003,3
31,Grand Theft Auto: Vice City,Action,M,PS2,Rockstar Games,Rockstar North,9.6,,16.15,,16.15,8.41,5.49,0.47,1.78,2002,3
32,Pokemon Sun/Moon,Role-Playing,E,3DS,Nintendo,Game Freak,9,,16.14,16.14,,,,,,2016,6
